S.no,States/Uts,Sanction order no,Date of sanction [DD/MM/YYYY],Date of IFD[DD/MM/YYYY],Total Amount released(actual in Rs),Finanacial Year of sanction order,Total Amount released(in lakh),Released for academic year,Amount released for academic year(in lakh),Amount given in reference data (in lakh),Remark if any
88,Andhra Pradesh,20014/4/2018-Sch,08/21/2014,,210607750,2014-15,2106.0775,2014-15,2106.0775,,
89,ARUNACHAL PRADESH,F.No. 20014/02/2012-Education,06/27/2014,,229360,2014-15,2.2936,2014-15,2.2936,,Map with wrong State Andhara. Two times enter this data on portal.
90,Assam,20014/6/2018-Sch,06/27/2014,,111400000,2014-15,1114,2014-15,1114,,
91,Bihar,F.No. 20014/02/2012-Education,06/27/2014,,2300000,2014-15,23,2014-15,23,,
92,Chhattisgarh,20014/8/2018-Sch,06/27/2014,,78700000,2014-15,787,2014-15,787,4066.75,Data mismatch between portal and reference data
93,Daman & Diu,,,,,2014-15,,,,1,"Data not available on MoTA portal, only available in reference data."
94,GOA,F.No. 20014/02/2012-Education,06/27/2014,,200000,2014-15,2,2014-15,2,,
95,Gujarat,F.No. 20014/02/2012-Education,06/27/2014,,61500000,2014-15,615,2014-15,615,3929.23,Data mismatch between portal and reference data
96,Himachal Pradesh,F.No. 20014/02/2012-Education,06/27/2014,,23700000,2014-15,237,2014-15,237,,
97,Jammu and Kashmir ,F.No.20014/11/2012-Education,12/30/2014,,231717000,2014-15,2317.17,2014-15,2317.17,,Amount shows 0 rs  on portal
98,Jammu and Kashmir ,F.No. 20014/02/2012-Education,06/27/2014,,17700000,2014-15,177,2014-15,177,,
99,Jharkhand,F.No. 20014/02/2012-Education,06/27/2014,,33600000,2014-15,336,2014-15,336,,
100,Jharkhand,F.No.20014/12/2012-Education,12/30/2014,,459123000,2014-15,4591.23,2014-15,4591.23,,Amount shows 0 rs  on portal
101,Karnataka,F.No. 20014/02/2012-Education,06/27/2014,,63000000,2014-15,630,2014-15,630,,
102,Kerala,F.No.20014/03/2012-Education,09/22/2014,,56500000,2014-15,565,2014-15,565,,Amount shows 0 rs  on portal
103,Kerala,F.No. 20014/02/2012-Education,06/27/2014,,8200000,2014-15,82,2014-15,82,,
104,Madhya Pradesh,F.No. 20014/02/2012-Education,06/27/2014,,238500000,2014-15,2385,2014-15,2385,,
105,Maharashtra,F.No.20014/16/2012-Education,09/26/2014,,630083000,2014-15,6300.83,2014-15,6300.83,,Amount shows 0 rs  on portal
106,Maharashtra,F.No. 20014/02/2012-Education,06/27/2014,,115100000,2014-15,1151,2014-15,1151,,
107,Manipur,F.No.20014/07/2012-Education,09/26/2014,,255548000,2014-15,2555.48,2014-15,2555.48,3615.48,Data mismatch between portal and reference data
108,Manipur,F.No. 20014/02/2012-Education,06/27/2014,,106000000,2014-15,1060,2014-15,1060,,
109,Manipur,FNo.20014/17/2012-Education,06/23/2014,,505101000,2014-15,5051.01,2013-14,5051.01,,Amount shows 0 rs  on portal
110,Meghalaya,F.No. 20014/02/2012-Education,06/27/2014,,43800000,2014-15,438,2014-15,438,,
111,Mizoram,F.No. 20014/19/20012-Education,01/28/2015,,361515000,2014-15,3615.15,2014-15,3615.15,,
